text,intent
not going to make it tonight,call_off_day_known
not gonna make it to work today,call_off_day_known
can you cover my shift today?,call_off_day_known
not making it today,call_off_day_known
not going to make it to work today,call_off_day_known
not gonna make it today,call_off_day_known
will be absent today,call_off_day_known
can i call off today,call_off_day_known
won't be coming in today due to childcare issues,call_off_day_known
cna you tell my aop i won' tbe there today?,call_off_day_known
can't make it today,call_off_day_known
and tomorrow,call_off_day_known
not feeling work today,call_off_day_known
